Customer ID,Age,Gender,Item Purchased,Category,"Purchase 
Amount (USD)",Location,Size,Color,Season,"Review 
Rating","Subscription 
Status","Payment 
Method","Shipping 
Type","Discount 
Applied","Promo Code
 Used","Previous
 Purchases","Preferred Payment
 Method","Frequency of
 Purchases","Previous Purchased 
Amount (USD)","Average 
Order Value (USD)","Total Sales 
Revenue Per Customer (USD)",Time spend on website  Minutes, clicks ,total number of impressions,Click-through rate (CTR),Website Traffic,"Conversion
 Rate %"
41,69,Male,Handbag,Accessories,$76.00,Louisiana,L,Beige,Winter,4.6,Yes,PayPal,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,$585.00,$20.66,$661.00,89,1,164,0.61%,56,1.79%
42,67,Male,Scarf,Accessories,$39.00,Alaska,M,Orange,Spring,4.5,Yes,Cash,Standard,Yes,Yes,40,Venmo,Annually,$142.00,$4.41,$181.00,28,0,225,0.00%,157,0.00%
43,20,Male,Coat,Outerwear,$100.00,Tennessee,M,Beige,Spring,4.1,Yes,Bank Transfer,Free Shipping,Yes,Yes,15,PayPal,Annually,$182.00,$17.63,$282.00,83,2,179,1.12%,52,3.85%
44,25,Male,Scarf,Accessories,$69.00,Ohio,L,Lavender,Fall,3.7,Yes,PayPal,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,$583.00,$32.60,$652.00,79,0,189,0.00%,130,0.00%
45,39,Male,Hat,Accessories,$53.00,Kentucky,S,Silver,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,45,PayPal,Weekly,$389.00,$9.61,$442.00,19,0,346,0.00%,108,0.00%
46,50,Male,Socks,Clothing,$21.00,Tennessee,XL,Indigo,Fall,2.9,Yes,Venmo,2-Day Shipping,Yes,Yes,25,PayPal,Annually,$577.00,$23.00,$598.00,26,0,200,0.00%,39,0.00%
47,57,Male,Shirt,Clothing,$43.00,California,L,White,Summer,2.9,Yes,Venmo,Store Pickup,Yes,Yes,45,Cash,Quarterly,$419.00,$10.04,$462.00,83,2,281,0.71%,175,1.14%
48,55,Male,Jewelry,Accessories,$54.00,Montana,M,Charcoal,Winter,4.5,Yes,Debit Card,Free Shipping,Yes,Yes,36,Cash,Weekly,$470.00,$14.16,$524.00,45,2,312,0.64%,18,11.11%
49,42,Male,Shirt,Clothing,$55.00,Nevada,M,Orange,Summer,2.7,Yes,Debit Card,Store Pickup,Yes,Yes,38,Cash,Monthly,$353.00,$10.46,$408.00,61,0,255,0.00%,81,0.00%
50,68,Male,Hoodie,Clothing,$30.00,New Jersey,S,Indigo,Spring,4.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,$139.00,$4.83,$169.00,40,1,169,0.59%,195,0.51%
51,49,Male,Blouse,Clothing,$28.00,Maryland,M,Red,Spring,3.7,Yes,Cash,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,$483.00,$12.78,$511.00,93,1,254,0.39%,180,0.56%
52,59,Male,Skirt,Clothing,$59.00,Vermont,XL,Gray,Winter,4.7,Yes,PayPal,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,$200.00,$32.38,$259.00,39,2,270,0.74%,68,2.94%
53,42,Male,T-shirt,Clothing,$20.00,Alaska,M,Green,Summer,2.6,Yes,Credit Card,Free Shipping,Yes,Yes,26,Credit Card,Weekly,$110.00,$4.81,$130.00,18,2,276,0.72%,163,1.23%
54,29,Male,Skirt,Clothing,$24.00,Mississippi,S,Peach,Winter,3.9,Yes,Debit Card,Next Day Air,Yes,Yes,35,Credit Card,Weekly,$258.00,$7.83,$282.00,42,2,194,1.03%,147,1.36%
55,47,Male,Coat,Outerwear,$94.00,New Mexico,M,Brown,Summer,4.2,Yes,Bank Transfer,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,$351.00,$12.36,$445.00,60,1,215,0.47%,102,0.98%
56,40,Male,Jacket,Outerwear,$28.00,South Carolina,M,Lavender,Winter,3,Yes,Venmo,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,$340.00,$7.36,$368.00,19,2,311,0.64%,121,1.65%
57,41,Male,Backpack,Accessories,$73.00,Mississippi,XL,Brown,Summer,4.7,Yes,PayPal,Store Pickup,Yes,Yes,46,Credit Card,Weekly,$444.00,$11.00,$517.00,54,0,221,0.00%,71,0.00%
58,21,Male,Coat,Outerwear,$64.00,West Virginia,M,White,Summer,4.4,Yes,PayPal,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,$486.00,$30.56,$550.00,96,0,253,0.00%,75,0.00%
59,69,Male,Hoodie,Clothing,$54.00,Missouri,M,Charcoal,Summer,4.2,Yes,Credit Card,Free Shipping,Yes,Yes,29,Venmo,Monthly,$316.00,$12.33,$370.00,59,2,166,1.20%,106,1.89%
60,63,Male,Belt,Accessories,$79.00,Louisiana,L,Yellow,Spring,4.6,Yes,Debit Card,Standard,Yes,Yes,4,Debit Card,Weekly,$454.00,$106.60,$533.00,20,0,188,0.00%,94,0.00%
61,50,Male,Sweater,Clothing,$37.00,Idaho,L,Brown,Summer,4,Yes,Credit Card,Express,Yes,Yes,17,Cash,Weekly,$561.00,$33.22,$598.00,97,1,249,0.40%,114,0.88%
62,55,Male,Scarf,Accessories,$68.00,Texas,M,Orange,Winter,4.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,$336.00,$18.36,$404.00,61,2,350,0.57%,136,1.47%
63,30,Male,Sneakers,Footwear,$21.00,Mississippi,S,Magenta,Spring,3.8,Yes,Credit Card,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,$241.00,$8.19,$262.00,41,0,174,0.00%,29,0.00%
64,33,Male,Sunglasses,Accessories,$79.00,Arizona,L,Lavender,Winter,2.7,Yes,Credit Card,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,$392.00,$10.70,$471.00,19,1,251,0.40%,113,0.88%
65,65,Male,Boots,Footwear,$83.00,Alabama,S,Green,Fall,4.8,Yes,PayPal,Standard,Yes,Yes,18,Debit Card,Fortnightly,$319.00,$21.16,$402.00,60,2,167,1.20%,73,2.74%
66,65,Male,Backpack,Accessories,$36.00,New Jersey,M,Purple,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,$94.00,$2.89,$130.00,74,0,247,0.00%,36,0.00%
67,31,Male,Blouse,Clothing,$94.00,Pennsylvania,S,Magenta,Winter,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,$515.00,$152.25,$609.00,93,2,249,0.80%,169,1.18%
68,45,Male,Coat,Outerwear,$33.00,Connecticut,L,Gray,Winter,4.4,Yes,PayPal,Store Pickup,Yes,Yes,49,Debit Card,Monthly,$290.00,$6.46,$323.00,93,1,314,0.32%,111,0.90%
69,57,Male,Handbag,Accessories,$46.00,Utah,L,Silver,Summer,3.9,Yes,Credit Card,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,$293.00,$15.41,$339.00,24,0,165,0.00%,38,0.00%
70,48,Male,Belt,Accessories,$70.00,Tennessee,S,Cyan,Summer,4.4,Yes,Credit Card,Express,Yes,Yes,5,Cash,Weekly,$78.00,$24.67,$148.00,77,0,151,0.00%,164,0.00%
71,22,Male,Belt,Accessories,$29.00,Alabama,M,Magenta,Fall,4.2,Yes,Credit Card,Express,Yes,Yes,32,Debit Card,Every 3 Months,$332.00,$10.94,$361.00,79,1,318,0.31%,24,4.17%
72,36,Male,Dress,Clothing,$48.00,Virginia,L,Gold,Summer,2.9,Yes,Debit Card,Express,Yes,Yes,34,Bank Transfer,Annually,$95.00,$4.09,$143.00,15,2,157,1.27%,146,1.37%
73,18,Male,Dress,Clothing,$26.00,Georgia,M,Olive,Winter,2.9,Yes,Debit Card,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,$502.00,$24.00,$528.00,33,2,314,0.64%,186,1.08%
74,48,Male,Pants,Clothing,$85.00,Hawaii,M,Teal,Spring,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,$458.00,$12.34,$543.00,25,0,280,0.00%,66,0.00%
75,49,Male,Gloves,Accessories,$58.00,Indiana,L,Violet,Spring,4.5,Yes,PayPal,Express,Yes,Yes,3,Cash,Monthly,$217.00,$68.75,$275.00,16,1,220,0.45%,21,4.76%
76,64,Male,Scarf,Accessories,$85.00,Utah,M,Blue,Summer,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,21,Credit Card,Annually,$220.00,$13.86,$305.00,45,2,247,0.81%,181,1.10%
77,50,Male,Hat,Accessories,$43.00,Delaware,S,Teal,Summer,4.2,Yes,Bank Transfer,Free Shipping,Yes,Yes,32,Venmo,Monthly,$294.00,$10.21,$337.00,19,2,160,1.25%,96,2.08%
78,22,Male,Dress,Clothing,$53.00,Delaware,L,Gold,Summer,3.3,Yes,Debit Card,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,$500.00,$14.95,$553.00,48,2,237,0.84%,133,1.50%
79,50,Male,Skirt,Clothing,$91.00,Nebraska,M,Maroon,Spring,4.7,Yes,Venmo,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,$194.00,$5.59,$285.00,39,1,253,0.40%,148,0.68%
80,38,Male,Jacket,Outerwear,$96.00,Iowa,M,Olive,Winter,2.6,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,$339.00,$9.89,$435.00,15,2,275,0.73%,98,2.04%
81,19,Male,Sandals,Footwear,$72.00,New York,XL,Blue,Summer,3.3,Yes,Credit Card,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,$7.00,$3.16,$79.00,96,2,151,1.32%,87,2.30%
82,67,Male,Shoes,Footwear,$96.00,Virginia,L,Maroon,Summer,2.6,Yes,PayPal,Express,Yes,Yes,36,Credit Card,Every 3 Months,$413.00,$13.76,$509.00,38,0,297,0.00%,43,0.00%
83,19,Male,Pants,Clothing,$28.00,Georgia,S,Olive,Spring,4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,$335.00,$16.50,$363.00,32,0,252,0.00%,173,0.00%
84,36,Male,Dress,Clothing,$40.00,Texas,M,Turquoise,Summer,4.1,Yes,Debit Card,Standard,Yes,Yes,34,Bank Transfer,Weekly,$396.00,$12.46,$436.00,42,1,207,0.48%,167,0.60%
85,52,Male,Coat,Outerwear,$32.00,Arizona,S,Peach,Spring,4.4,Yes,Cash,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,$156.00,$4.37,$188.00,78,0,247,0.00%,175,0.00%
86,53,Male,Sunglasses,Accessories,$95.00,New Mexico,M,Charcoal,Winter,4.5,Yes,Credit Card,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,$346.00,$147.00,$441.00,75,0,180,0.00%,172,0.00%
87,24,Male,Hoodie,Clothing,$41.00,Nevada,L,Pink,Spring,3.7,Yes,Venmo,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,$196.00,$4.94,$237.00,88,0,293,0.00%,35,0.00%
88,52,Male,Shoes,Footwear,$53.00,Ohio,M,Green,Fall,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,$462.00,$11.44,$515.00,33,2,184,1.09%,77,2.60%
89,33,Male,T-shirt,Clothing,$47.00,Wyoming,M,Orange,Fall,3.5,Yes,Credit Card,Free Shipping,Yes,Yes,35,Credit Card,Monthly,$390.00,$12.14,$437.00,12,2,310,0.65%,153,1.31%
90,47,Male,Jacket,Outerwear,$83.00,California,XL,Pink,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,15,Cash,Quarterly,$470.00,$34.56,$553.00,64,2,270,0.74%,94,2.13%
91,25,Male,Hat,Accessories,$48.00,South Carolina,L,Violet,Summer,2.9,Yes,Venmo,Express,Yes,Yes,29,Credit Card,Monthly,$232.00,$9.33,$280.00,51,0,212,0.00%,199,0.00%
92,44,Male,Scarf,Accessories,$99.00,South Carolina,S,Green,Winter,4.6,Yes,PayPal,Standard,Yes,Yes,18,Credit Card,Every 3 Months,$114.00,$11.21,$213.00,69,2,249,0.80%,145,1.38%
93,61,Male,Jacket,Outerwear,$87.00,Texas,M,Olive,Winter,4.4,Yes,Cash,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,$251.00,$24.14,$338.00,75,0,182,0.00%,147,0.00%
94,37,Male,Sweater,Clothing,$62.00,Florida,M,Purple,Fall,4.5,Yes,PayPal,Standard,Yes,Yes,46,Credit Card,Weekly,$582.00,$13.70,$644.00,12,2,166,1.20%,20,10.00%
95,58,Male,Skirt,Clothing,$76.00,Nevada,S,Silver,Spring,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,28,Credit Card,Weekly,$596.00,$23.17,$672.00,30,2,257,0.78%,132,1.52%
96,37,Male,Sneakers,Footwear,$100.00,Missouri,L,Pink,Fall,3.8,Yes,PayPal,Free Shipping,Yes,Yes,48,PayPal,Monthly,$543.00,$13.12,$643.00,24,2,284,0.70%,143,1.40%
97,32,Male,Gloves,Accessories,$73.00,Delaware,S,Gold,Spring,3.6,Yes,Venmo,Express,Yes,Yes,43,Venmo,Every 3 Months,$166.00,$5.43,$239.00,94,0,167,0.00%,49,0.00%
98,21,Male,Shoes,Footwear,$92.00,Virginia,M,Teal,Winter,4.8,Yes,PayPal,Store Pickup,Yes,Yes,37,Cash,Annually,$155.00,$6.50,$247.00,50,0,248,0.00%,154,0.00%
99,20,Male,Jeans,Clothing,$67.00,New York,XL,Teal,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,$573.00,$30.48,$640.00,33,0,157,0.00%,33,0.00%
100,26,Male,Hoodie,Clothing,$40.00,Missouri,XL,Indigo,Summer,3.7,Yes,Cash,Express,Yes,Yes,33,Debit Card,Quarterly,$369.00,$12.03,$409.00,50,2,164,1.22%,65,3.08%
101,62,Male,Sunglasses,Accessories,$98.00,South Dakota,M,Maroon,Fall,2.7,Yes,PayPal,Express,Yes,Yes,31,Cash,Fortnightly,$139.00,$7.41,$237.00,53,1,156,0.64%,20,5.00%
102,27,Male,Coat,Outerwear,$85.00,North Dakota,XL,White,Spring,4.6,Yes,Venmo,Express,Yes,Yes,50,Credit Card,Bi-Weekly,$447.00,$10.43,$532.00,74,1,161,0.62%,61,1.64%
103,51,Male,Socks,Clothing,$67.00,Oklahoma,L,Violet,Winter,4.8,Yes,Credit Card,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,$225.00,$8.11,$292.00,64,0,290,0.00%,48,0.00%
104,54,Male,Boots,Footwear,$89.00,West Virginia,L,Red,Winter,4,Yes,Debit Card,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,$543.00,$27.48,$632.00,10,2,223,0.90%,27,7.41%
105,55,Male,Sunglasses,Accessories,$24.00,New Hampshire,L,Pink,Spring,4.4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,$342.00,$183.00,$366.00,56,1,323,0.31%,184,0.54%
106,69,Male,Backpack,Accessories,$96.00,New York,M,Charcoal,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,$21.00,$23.40,$117.00,77,0,347,0.00%,20,0.00%
107,64,Male,Jacket,Outerwear,$35.00,Minnesota,L,White,Summer,3.7,Yes,Cash,Standard,Yes,Yes,31,Credit Card,Monthly,$532.00,$17.72,$567.00,45,0,320,0.00%,182,0.00%
108,28,Male,Sneakers,Footwear,$67.00,Maryland,L,Olive,Winter,3.1,Yes,Cash,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,$189.00,$5.45,$256.00,24,0,229,0.00%,69,0.00%
109,70,Male,Socks,Clothing,$79.00,Montana,L,Purple,Spring,3.4,Yes,Bank Transfer,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,$369.00,$13.58,$448.00,52,1,294,0.34%,182,0.55%
110,58,Male,T-shirt,Clothing,$85.00,Alabama,M,Violet,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,$117.00,$4.59,$202.00,28,0,158,0.00%,93,0.00%
111,56,Male,Backpack,Accessories,$26.00,New York,M,Black,Summer,4,Yes,Bank Transfer,Standard,Yes,Yes,26,Venmo,Fortnightly,$171.00,$7.30,$197.00,72,1,321,0.31%,185,0.54%
112,26,Male,Belt,Accessories,$75.00,Massachusetts,L,Purple,Summer,5,Yes,PayPal,Free Shipping,Yes,Yes,9,Credit Card,Annually,$439.00,$51.40,$514.00,93,1,334,0.30%,122,0.82%
113,37,Male,Gloves,Accessories,$65.00,Florida,M,Red,Spring,4.3,Yes,Credit Card,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,$467.00,$18.34,$532.00,22,1,292,0.34%,127,0.79%
114,44,Male,Hat,Accessories,$54.00,New Jersey,L,Maroon,Winter,3.1,Yes,Debit Card,Next Day Air,Yes,Yes,20,PayPal,Quarterly,$321.00,$17.86,$375.00,45,2,267,0.75%,33,6.06%
115,70,Male,Coat,Outerwear,$95.00,Massachusetts,S,Blue,Summer,3.7,Yes,Venmo,Store Pickup,Yes,Yes,9,Cash,Weekly,$519.00,$61.40,$614.00,12,0,239,0.00%,148,0.00%
116,53,Male,Skirt,Clothing,$94.00,Wyoming,M,Gray,Spring,3.8,Yes,Cash,Standard,Yes,Yes,48,Debit Card,Every 3 Months,$469.00,$11.49,$563.00,88,2,187,1.07%,146,1.37%
117,55,Male,Shoes,Footwear,$86.00,Virginia,S,Blue,Spring,3.4,Yes,PayPal,Free Shipping,Yes,Yes,12,Venmo,Annually,$598.00,$52.62,$684.00,91,2,159,1.26%,62,3.23%
118,50,Male,Sandals,Footwear,$32.00,South Dakota,L,Yellow,Summer,4.6,Yes,Bank Transfer,Express,Yes,Yes,29,Cash,Fortnightly,$85.00,$3.90,$117.00,86,2,324,0.62%,189,1.06%
119,50,Male,Sweater,Clothing,$45.00,Kentucky,L,Orange,Fall,4.8,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,$220.00,$9.46,$265.00,74,1,226,0.44%,136,0.74%
120,38,Male,Coat,Outerwear,$76.00,Wyoming,M,Orange,Fall,4.3,Yes,Debit Card,Express,Yes,Yes,44,Cash,Annually,$245.00,$7.13,$321.00,10,0,324,0.00%,152,0.00%
